SHAKESPEARIAN GLOSSARY
ABATE	to shorten
IMPRESS	to compel to serve
INCAPABLE	unconscious
INCARNARDINE	to dye red
INCENSED	incited, egged on
INCH-MEAL	by inch-meal, by portions of inches
INCLINING	compliant
INCLINING	inclination
INCLIP	to embrace
INCLUDE	conclude
INCONY	fine, delicate
INCORRECT	ill-regulated
IND	India
INDENT	to compound or bargain
INDEX	a preface
INDIFFERENT	ordinary
INDIGEST	disordered
INDITE	to invite
	To convict
INDUCTION	introduction, beginning
INDURANCE	delay
INFINITE	infinite power
INGRAFT	to engraff, engrafted
INHABITABLE	uninhabitable
INHERIT	to possess
INHOOPED	penned up in hoops
INKHORN-MATE	a contemptuous term for an ecclesiastic, or man
	of learning
INKLE	a kind of narrow fillet or tape
INLAND	civilized, well-educated
INLY	inward
INLY	inwardly
INQUISITION	enquiry
INSANE	that which causes insanity
INSCONCE	to arm, fortify
INSTANCE	example
	Information
	Reason, proof
INTEND	to pretend
INTENDING	regarding
INTENDMENT	intention
INTENTIVELY	attentively
INTERESSED	allied
INTERMISSION	pause, delay
INTRENCHMENT	not capable of being cut
INTRINSE	intricate
INTRINSICATE	intricate
INVENTION	imagination
INWARD	an intimate friend
	intimate
INWARDNESS	intimacy
IRREGULOUS	lawless, licentious
ITERATION	reiteration


JACK	a mean fellow
JACK-A-LENT	a puppet thrown at in Lent
JACK GUARDANT	a jack in office
JADE	to whip, to treat with contempt
JAR	the ticking of a clock
JAR	to tick as a clock
JAUNCE	to prance
JESS	a strap of leather attached to the talons of a
	hawk, by which it is held on the fist
JEST	to tilt in a tournament
JET	to strut
JOURNAL	daily
JOVIAL	appertaining to Jove
JUDICIOUS	critical
JUMP	to agree
	to hazard
JUMP	hazard
JUMP	exactly, nicely
JUSTICER	a judge, magistrate
JUT	to encroach
JUTTY	a projection
JUTTY	to jut out beyond
JUVENAL	youth, young man


KAM	crooked
KECKSY	hemlock
KEECH	a lump of tallow
KEEL	to skin
KEEP	to restrain
KEISAR	Caesar, Emperor
KERN	the rude foot soldiers of the Irish
KIBE	a chilblain
KICKSHAW	a made dish
KICKSY WICKSY	a wife, used in disdain
KILN-HOLE	the ash-hole under a kiln
KIND	nature
KINDLE	to bring forth young; used only of beasts
KINDLESS	unnatural
KINDLY	natural
KIRTLE	a gown
KNAP	to snap, crack
KNAVE	a boy
	A serving-man
KNOT	a figure in garden beds
KNOW	to acknowledge


LABRAS	lips
LACED-MUTTON	a courtesan
LAG	the lowest of the people
LAG	late, behindhand
LAKIN	ladykin, little lady, an endearing term applied
	to the Virgin Mary in the oath, 'By our lakin.' 
LAND-DAMN	perhaps to extirpate; Hanmer thinks it means
	to kill by stopping the urine
LAPSED	taken, apprehended
LARGE	licentious, free
LARGESS	a present
LASS-LORN	deserted by a mistress
LATCH	to smear
	To catch
LATED	belated
LATTEN	made of brass
LAUND	lawn
LAVOLTA	a dance
LAY	wager
LEAGUE	besieging army
LEASING	lying
LEATHER-COATS	a kind of apple
LEECH	a physician
LEER	countenance, complexion
LEET	a manor court
LEGE	to allege
LEGERITY	lightness
LEIGER	an ambassador resident abroad
LEMAN	a lover or mistress
LENTEN	meagre
	That which may be eaten in Lent
L'ENVOY	the farewell or moral at the end of a tale or
	poem
LET	to hinder
	to binder
LET	hindrance
LETHE	death
LEVEL	to aim
LEVEL	that which is aimed at
LEWD	ignorant, foolish
LEWDLY	wickedly
LEWDSTER	a lewd person
LIBBARD	a leopard
LIBERAL	licentious
LIBERTY	libertinism
LICENCE	licentiousness
LIEF	dear
LIFTER	a thief
LIGHT O' LOVE	a tune so called
LIGHTLY	easily, generally
LIKE	to please
LIKE	to liken, compare
LIKE	likely
LIKELIHOOD	promise, appearance
LIKING	condition
LIMBECK	an alembick, a still
LIMBO	or Limbo patrum, the place where good men under
	the Old Testament were believed to be imprisoned till
	released by Christ after his crucifixion
LIME	bird-lime
LIME	to entangle as with bird-lime
	To smear with bird-lime
	To mix lime with beer or other liquor
LIMN	to draw
LINE	to cover on the inside
	To strengthen by inner works
LINSTOCK	a staff with a match at the end of it used by
	gunners in firing cannon
LIST	a margin, hence a bound or enclosure
LITHER	lazy
LITTLE	miniature
LIVELIHOOD	appearance of life
LIVERY	a law phrase, signifying the act of delivering
	a freehold into the possession of the heir or
	purchaser
LIVING	lively, convincing
LOACH	a fish so called
LOB	a looby
LOCKRAM	a sort of coarse linen
LODE-STAR	the leading-star, pole-star
LOFFE	to laugh
LOGGATS	the game called nine-pins
LONGLY	longingly
LOOF	to lull, bring a vessel up to the wind
LOON	a low contemptible fellow
LOT	a prize in a lottery
LOTTERY	that which falls to a man by lot
LOWT	a clown
LOWT	to treat one as a lowt, with contempt
LOZEL	a spendthrift
LUBBER	a leopard
LUCE	n. the pike or jack, a fresh-water fish
LUMPISH	duff, dejected
LUNES	fits of lunacy
LURCH	to defeat, to win
LURCH	to shift, to play tricks
LURE	a thing stuffed to resemble a bird with which
	the falconer allures a hawk
LUSH	juicy, luxuriant
LUSTIG	lusty, cheerful
LUXURIOUS	lascivious
LUXURY	lust
LYM	a limer or slow hound


MADE	having his fortune made
MAGNIFICO	the chief magistrate at Venice
MAGOT-PIE	a magpie, a pie which feeds on magots
MAIL	covered as with a coat of mail
MAIN-COURSE	a sea-term
MAKE	to do up, bar
	To do
MALKIN	a familiar name for Mary; hence a servant
	wench
MALLECHO	mischief
MAMMERING	hesitating
MAMMETS	a woman's breasts
	A doll
MAMMOCK	to break, tear
MAN	to tame a hawk
MANAGE	management
MANDRAGORA	or Mandrake a plant of soporiferous quality,
	supposed to resemble a man
MANKIND	having a masculine nature
MARCHES	frontiers, borders
MARCHPANE	a kind of sweet biscuit
MARGENT	margin
MARRY TRAP	an oath
MARTLEMAS	the Feast of St. Martin, which occurs on the
	11th of Nov. when the fine weather generally ends;
	hence applied to an old man
MATCH	an appointment
MATE	to confound, dismay
MEACOCK	tame, cowardly
MEALED	mingled
MEAN	instrument used to promote an end
MEAN	the tenor part in a harmony
MEAN	opportunity, power
MEASURE	reach
	A stately dance
MEAZEL	a leper, spoken in contempt of a mean person
MEDAL	a portrait in a locket
MEDICINE	a physician
MEED	reward, hire
	Merit
MEHERCLE	by Hercules
MEINY	retinue
MELL	to mix, to meddle
MEMORISE	to cause to be remembered
MEPHISTOPHILUS	the name of a familiar spirit
MERCATANTE	a foreign trader
MERELY	simply, absolutely
MESS	a company of four
METAPHYSICAL	supernatural
METE-YARD	measuring-wand
MEW UP	to confine
MICHER	a truant
MICKLE	much
MILL-SIXPENCE	a milled sixpence
MINCE	to do any thing affectedly
MINCING	affected
MISCREATE	illegitimate
MISDOUBT	to suspect
MISERY	avarice
MISPRISE	to despise
	To mistake
MISPRISION	mistake
MISSIVE	messenger
MISTEMPERED	angry
MISTHINK	to think ill of
MISTRESS	the jack in bowling
MOBLED	muffled
MODERN	commonplace
MODULE	a model, image
MOE	and more. Of frequent occurrence
MOIETY	a portion
MOME	a stupid person
MOMENTANY	momentary
MONTHS-MIND	a monthly commemoration of the dead, but used
	ludicrously to mean a great mind or strong desire
MOOD	anger
MOON-CALF	a nick-name applied to Caliban
MOONISH	inconstant
MOP	nod
MORISCO	a Moor
MORRIS-PIKE	Moorish-pike
MORT	death, applied to animals of the chase
MORT-DU-VINAIGRE	a ridiculous oath
MORTAL	fatal, deadly
	Murderous
MORTIFIED	ascetic
MOSE	a doubtful word, applied to some disease
	in a horse
MOTION	solicitation
	Emotion
MOTION	a puppet
MOTIVE	one who moves
	That which moves
MOTLEY	or the many-coloured coat of a fool, or
	a fool
MOTLEY-MINDED	foolish
MOUSE-HUNT	a weasel
MOW	to make grimaces
MOY	a coin, probably a moidore
MUCH	int. significant of contempt
MUCH	used ironically
MURE	a wall
MUST	a scramble
MUTINE	to mutiny
MUTINE	a mutineer


NAPKIN	a handkerchief
NATURAL	an idiot
NAYWARD	towards denial
NAYWORD	a catch-word, by-word
NEB	the beak
NEELD	a needle
NEIF	hand
NEPHEW	a grandson
NETHER-STOCKS	stockings
NEXT	nearest
NICE	foolish
NICK	score or reckoning
NICK	to brand with folly
NIGHTED	black as night
NIGHT-RULE	nightly solemnity
NINE MEN'S MORRIS	a place set apart for a Moorish dance by
	nine men
NINNY	a fool, jester
NOBILITY	nobleness
NOBLE	a coin, worth 6s. 8d
NODDY	a dolt
NONCE	for the nonce, corrupted from 'for then once,'
	for the occasion
NOOK-SHOTTEN	indented with bays and creeks
NOURISH	a nurse
NOVUM	a game at dice
NOWL	head
NUTHOOK	a hook for pulling down nuts, hence a thief
	


O	a circle
OAR	to row as with oars
OBSEQUIOUS	behaving as becomes one who attends funeral
	obsequies
OBSEQUIOUSLY	funereally
OBSTACLE	ridiculously used for 'obstinate.'
OCCUPATION	persons occupied in business
OCCURENT	an incident
OD'S BODY	|    'Od's in these
OD'S HEARTLINGS	|  and all similar
	| exclamations is
OD'S PITTIKINS	|  a euphemism
OD'S PLESSED WILL	|    for 'God's.'
OEILLIAD	an amorous glance
O'ERPARTED	having too important a part to act
O'ER-RAUGHT	overreached
	overtasked
OFFERING	challenging
OFFICE	benefit, kindness
	use, function
OLD	a cant term for great, as we say fine, or pretty
ONCE	some time
ONEYER	a banker.  A doubtful word
OPE	open
OPE	to open
	to open
OPEN	plain
	Public
OPEN	to give tongue as a hound
OPERANT	active
OPINIONED	used ridiculously for pinioned
OPPOSITE	adversary
OPPOSITION	combat
OR	before
ORDER	measures
ORDINANCE	rank, order
ORGULOUS	proud
ORT	leaving, refuse
OSTENT	show, appearance
OSTENTATION	show, appearance
	
OUNCE	a beast of prey of the tiger kind
OUPHE	a fairy
OUSEL-COCK	the blackbird
OUT	all out, fully
OUT-LOOK	to face down
OUTWARD	not in the secret of affairs
OUTWARD	outside
OWE	to own


PACK	to practise unlawful confederacy
PACK	a number of people confederated
PADDOCK	a toad
PAID	punished
PALABRAS	words, a cant term, from the Spanish
PALE	to enclose
PALL	to wrap as with a pall
PALLED	impaired
PALMER	one who bears a palm-branch, in token of having
	made a pilgrimage to Palestine
PALMY	victorious
PARCELLED	belonging to individuals
PARD	the leopard
PARITOR	an apparitor
PARLE	talk
PARLOUS	perilous
	keen, shrewd
PARTED	endowed, gifted
PARTIZAN	a pike
PASH	the face
PASH	to strike violently, to bruise, crush
PASS	to practise
	To surpass expectation
PASSANT	a term of heraldry, applied to animals
	represented on the shield as passing by at a trot
PASSING	surpassingly, exceedingly
PASSION	to have feelings
PASSIONATE	to suffer
PASSY-MEASURE	a kind of dance
PASTRY	the room where pastry was made
PATCH	a mean fellow
PATCHED	dressed in motley
PATCHERY	trickery
PATH	to walk
PATHETICAL	affected, hypocritical
PATIENT	to make patient, to compose
PATINE	the metal disc on which the bread is placed in
	the administration of the Eucharist
PATTERN	to give an example of
	Afford a pattern for
PAUCA VERBA	few words
PAUCAS	few, a cant word
PAVIN	a dance
PAX	a small image of Christ
PAY	to despatch
PEAT	a term of endearment for a child
PEDASCULE	a pedant, schoolmaster
PEER	to peep out
PEIZE	to balance, weigh down
PELTING	paltry
PERDU	lost
PERDURABLE	durable
PERDY	a euphemism for Par Dieu
PERFECT	certain
PERFECT	to inform perfectly
PERIAPTS	charms worn round the neck
PERJURE	a perjured person
PERSEVER	to persevere
PERSPECTIVE	a telescope, or some sort of optical glass
PEW-FELLOW	a comrade
PHEEZE	to comb, fleece, curry
PIA-MATER	the membrane covering the brain, the brain
	itself
PICK	to pitch, throw
PICKED	chosen, selected
PICKERS	(and stealers), the fingers, used ridiculously
PICKING	insignificant
PICKT-HATCH	a place noted for brothels. Merry Wives
	of Windsor
PIED	motley-coated, wearing the motley coat of a
	jester
PIELED	shaven
PLIGHT	pitched
PILCHER	a scabbard
PILL	to pillage
PIN	a malady of the eye
	The centre of a target
PINFOLD	a pound, a place to confine lost cattle
PIONED	digged
PLACKET	a petticoat-front
PLAIN SONG	a simple air
PLAITED	intricate
PLANCHED	made of boards
PLANTATION	colonizing, planting a colony
PLAUSIVE	plausible
PLEACHED	interwoven
POINT	a lace furnished with a tag by which the
	breeches were held up
POINT-DE-VICE	faultless
POISE	balance
	Doubt
POLLED	bare
POMANDER	a perfumed ball
POMEWATER	a kind of apple
POOR-JOHN	a herring
POPINJAY	a parrot
PORT	pomp, state
PORT	a gate
PORTABLE	bearable
PORTANCE	conduct, behavior
POSSESS	to inform
POTCH	to push violently
POTENT	a potentate
POUNCET-BOX	a box for holding perfumes
POWER	forces, army
PRACTISE	wicked stratagem
PRACTISANT	a confederate
PRANK	to dress up
PRECEPT	a justice's summons
PRECIOUSLY	in business of great importance
PREGNANCY	fertility of invention
PREGNANT	fertile of invention
	Ready
	Obvious
PRENOMINATE	to name beforehand, to prophesy
PRE-ORDINANCE	old-established law
PRESENCE	the presence-chamber
	High bearing
PREST	ready
PRETENCE	design
PRETEND	to portend
	To intend
PREVENT	to anticipate
PRICK	the mark denoting the hour on a dial
PRICK	to incite
	To choose by pricking a hole with a pin opposite the
	name
PRICK-SONG	music sung in parts by note
PRICKET	a stag of two years
PRIDE	heat
PRIG	to steal
PRIME	rank, lecherous
PRIMER	more-important
PRIMERO	a game at cards
PRINCIPALITY	that which holds the highest place
PRINCOX	a coxcomb
PRISER	a prize-fighter
PROCURE	to bring
PREFACE	interj. much good may it do you
PROFANE	outspoken
PROGRESS	a royal ceremonial journey
PROJECT	to shape or contrive
PROMPTURE	suggestion
PRONE	ready, willing
PROOF	strength of manhood
PROPAGATE	to advance, to forward
PROPAGATION	obtaining
PROPER-FALSE	natural falsehood
PROPERTIED	endowed with the properties of
PROPERTIES	scenes, dresses, &c. used in a theatre
	
PROPERTY	to take possession of
PROPOSE	to suppose, for the sake of argument
	To converse
PROPOSE	conversation
PROROGUE	to defer
PROVAND	provender
PROVISION	forecast
PUCELLE	a virgin, the name given to Joan of Arc
PUDENCY	modesty
PUGGING	thieving
PUN	to pound
PURCHASE	to acquire, win
PURCHASE	gain, winnings
PUT	to compel
PUTTER-ON	an instigator
PUTTER-OUT	one who lends money at interest
PUTTING-ON	instigation
PUTTOCK	a kite


QUAIL	to faint, be languid, be afraid
	to cause to quail
QUAINT	curiously beautiful
QUAKE	to cause to quake or tremble
QUALIFY	to moderate
QUALITY	those of the same nature
	Rank or condition
QUARREL	a suit, cause
QUARRY	game, a heap of game
QUART D'ECU	a quarter crown
QUARTER	the post allotted to a soldier
QUAT	a pimple; used in contempt of a person
QUEASY	squeamish, unsettled
	
QUELL	murder
QUENCH	to grow cool
QUERN	a hand-mill
QUEST	enquiry, search, inquest, jury
QUESTRIST	one who goes in search of another
QUICK	so far gone in pregnancy that the child is
	alive
QUICKEN	to come to life
QUIDDIT	|  a subtle question
QUIDDITY	|
QUILLET	quidebet, a subtle case in law
QUINTAIN	a post for tilting at
QUIP	sharp jest, a taunt
QUIRE	to sing in concert
QUIT	to requite, respond
QUIT	past tense of the verb to quit, quitted
QUITANCE	requital
QUIVER	active
QUOTE	to note


RABATO	a ruff
RABBIT-SUCKER	a weasel
RACE	breed; inherited nature
RACK	wreck
RACK	to enhance the price of anything
	To drive as clouds
RAG	a term of contempt applied to persons
RAKE	to cover
RAPT	transported with emotion
RAPTURE	a fit
RASCAL	a lean deer
RASH	quick, violent
RATE	opinion, judgment
RATE	to assign, to value
	To scold
RATOLORUM	a ludicrous mistake for Rotulorum
RAUGHT	past tense of reach
RAVIN	ravenous
RAVIN	to devour
RAWLY	inadequately
RAWNESS	unprovided state
RAYED	arrayed, served
RAZED	slashed
REAR-MOUSE	the bat
REBATE	to deprive of keenness
REBECK	a three-stringed fiddle
RECEIPT	money received
RECEIVING	capacity
RECHEAT	a point of the chase to call back the hounds
RECORD	to sing
RECORDER	a flute
RECURE	to cure, recover
RED-LATTICE	suitable to an ale-house, because ale-houses
	had commonly red lattices
RED-PLAGUE	erysipelas
REDUCE	to bring back
REECHY	smoky, dirty
REFELL	to refute
REFER	to reserve to
REGIMENT	government
REGREET	a salutation
REGREET	to salute
REGUERDON	requital
RELATIVE	applicable
REMEMBER	to remind
REMORSE	pity
REMORSEFUL	full of pity, compassionate
REMOTION	removal
REMOVED	sequestered, remote
RENDER	to describe you
RENDER	account
RENEGE	to renounce, to deny
REPAIR	to renovate, comfort
REPEAL	to reverse the sentence of exile. Two
	Gentlemen of Verona
REPROOF	confutation
REPUGN	to resist
REQUIEM	mass for the dead, so called because it begins
	with the words, Requiem eternam dona eis, Domine
RESOLVE	to satisfy
	To dissolve
RESPECT	consideration
RESPECTIVE	respectful, thoughtful
RESPECTIVE	corresponding
RESPECTIVELY	respectfully
RETAILED	handed down
RETIRE	retreat
RETIRE	to draw back
REVERB	to echo
REVOLT	a rebel
RIB	to enclose as within ribs
RID	to destroy
RIFT	to split
	to split
RIFT	a split
RIGGISH	wanton
RIGOL	a circle
RIPE	drunk
RIVAGE	the shore
RIVAL	a partner
RIVALITY	equal rank
RIVE	to fire
ROAD	the high road, applied to a common woman
ROISTING	roistering, violent
ROMAGE	unusual stir
RONVON	a term of contempt applied to a woman
ROOD	the crucifix
ROOK	a cheater
ROPERY	roguery
ROPE-TRICKS	tricks such as are played by a rope-dancer
ROUND	to whisper
	To become great with child
	to finish off
ROUND	a diadem
ROUND	unceremonious
ROUNDEL	a dance or song
ROUNDURE	an enclosure
ROUSE	carousal
ROYNISH	mangy
RUBIOUS	ruddy
RUDDOCK	the redbreast
RUSH	to push
RUSHLING	rustling


SACRIFICIAL	reverent, as words used in religious worship
SACRING-BELL	the little bell rung at mass to give notice
	that the elements are consecrated
SAD	serious
SADLY	seriously
SADNESS	seriousness
SAFE	to make safe
SAG	to hang down
SALT	lascivious
SALT	taste
SANDED	marked with yellow spots
SANS	without
SAUCY	lascivious
SAW	a moral saying
SAY	silken
SAY	assay, taste, relish
SCAFFOLDAGE	the gallery of a theatre
SCALD	scurvy, scabby
SCALE	to weigh in scales
SCALL	a scab, a word of reproach
SCAMBLE	to scramble
SCAMEL	probably a misprint for sea-mel, sea-mew
SCAN	to examine subtly
SCANT	to cut short, to spare
SCANT	scanty, short
	scarcely
SCANTLING	a small portion
SCAPE	to escape
SCAPE	a sally
SCATHE	injury
SCATHE	to injure
SCATHFUL	destructive
SCONCE	the head
SCOTCH	to bruise or cut slightly
SCRIMER	a fencer
SCROYLE	a scabby fellow
SCULL	a shoal of fish
SCURVY	scabby; metaph. mean
SEAL	to set one's seal to a deed; hence, to confirm
SEAM	fat
SEAMY	showing the seam or sewing
SEAR	scorched, withered
SEAR	to stigmatise
SEARCH	to probe; hence, to apply a healing remedy
	
SEATED	fixed, confirmed
SECT	a slip or scion
	A political party
SECURELY	inconsiderately
SEEL	to close
SEELING	closing, blinding
SEEMING	seemly, becomingly
SEEMING	outward manner and appearance
SEEN	versed, instructed
SELD	seldom
SELF-BOUNTY	native goodness
SEMBLABLY	alike
SENIORY	seniority
SENNET	a flourish of trumpets
SEPULCHRE	to bury
SEQUESTRATION	separation
SERE	dry
SERJEANT	a bailiff
SERPIGO	a cutaneous disease
SERVICEABLE	'serviceable vows,' vows that you will do
	her service, or be her servant
SETEBOS	the name of a fiend
SETTER	one who watches travellers to give information
	to thieves
SEVERAL	land which is not common but appropriated
SHAME	to be ashamed
SHAME	modesty
SHARDS	shreds, broken fragments of pottery
SHARDS	the wing cases of beetles; hence 'sharded,'
	and 'shard-borne,' 
SHARKED	snatched up, as a shark does his prey
SHEEN	brilliancy
SHEER	pure
	Unmixed
SHENT	rebuked, blamed
	Hurt
SHERIFF'S-POST	a post at the door of a sheriff, to which royal
	proclamations were fixed
SHIVE	slice
SHOT	the reckoning at an ale-house
SHOUGHS	shaggy dogs
SHOULDERED	plunged
SHOVEL-BOARD	game played by sliding metal pieces along
	a board at a mark
SHREWD	mischievous
SHRIFT	confession
	Absolution
SHRIVE	to confess
SHRIVING-TIME	time for confession
SHROUD	to enshroud oneself, cover oneself up
SIDE-SLEEVES	loose hanging sleeves
SIEGE	seat
	Stool
	Rank
SIGHT	an aperture in a helmet
SIGHTLESS	invisible
	Unsightly
SIGN	to give an omen
SILLY	simple, rustic
SIMULAR	counterfeit, feigned
SINGLE	feeble
SIR	a title applied to a bachelor of arts at the
	Universities
SITH	since
SITHENCE	since
SIZES	allowances
SKAINS-MATES	scapegraces
SKILL	to be of importance
SKILLESS	ignorant
SKIMBLE-SKAMBLE	rambling, disjointed
SKINKER	a drawer of liquor
SKIRR	to scour
SLACK	slacken
SLAVE	to turn to slavish uses
SLEAVE	floss-silk
SLEDDED	sledged
SLEIDED	untwisted, raw, applied to silk
	 (Gower)
SLEIGHTS	artifices
SLIPPER	slippery
SLIPS	a kind of noose, or leash
	A piece of base money
SLIVER	to slice
SLIVER	a slice
SLOPS	loose breeches
SLUBBER	to slur over
SMIRCHED	smeared, soiled
SMOOTH	to flatter
SMOOTHED	flattered, fawned upon
SNEAP	taunt, sarcasm
SNEAPED	pinched
SNECK-UP	go hang! 
SNUFF	anger
	'To take in snuff' is to take offence
SOFTLY	gently
SOIL	spot, taint
SOLICIT	solicitation
SOLIDARE	a small coin
SOLVE	solution
SOMETIMES	formerly
SOOTH	truth
	Conciliation
SOOTH	true
SOREL	a buck of the third year
SORRIEST	most sorrowful
SORRY	sorrowful, dismal
SORT	a company
	Rank, condition
	Lot
	'In a sort,' in a manner
SORT	to choose
	to suit
	To consort
SOT	fool
SOUL-FEARING	soul-terrifying
SOWL	to lug, drag
SOWTER	name of a dog
SPECIALLY	a special contract
SPED	settled, done for
SPEED	fortune
SPERR	to bolt, fasten
SPIAL	spy
SPILL	to destroy
SPILTH	spilling
SPLEEN	violent haste
	Used of the lightning flash
SPRAG	quick
SPRING	shoot, bud
	Beginning
SPRINGHALT	stringhalt, a disease of horses
SPRITED	haunted
SPURS	roots of trees
SQUANDERED	scattered
SQUARE	to quarrel
SQUARE	the front part of a woman's dress, stomacher
SQUARE	equitable
SQUARER	quarreller
SQUASH	an unripe peascod
SQUIER	a square or rule
SQUINY	to squint
STAGGERS	a disease in horses, attended with giddiness:
	hence any bewildering distress
STAIN	to disfigure
STALE	a decoy
	A gull
	A prostitute
STALE	to make stale, deprive anything of its
	freshness
STAND UPON	to be incumbent on
STANIEL	an inferior kind of hawk
STARK	stiff
STARKLY	stiffly
STATE	a canopied chair
STATION	attitude
	Act of standing
STATIST	a statesman
STATUA	a statue
STATUE	image, picture
STATUTE	security, obligation
STATUTE-CAPS	woollen caps worn by citizens
STAY	a cheque
STEAD	to profit
STEELED	set or fixed
STERNAGE	steerage, course
STICKLER	an arbitrator in combats
STIGMATIC	a deformed person
STIGMATICAL	deformed
STILL	constant
STILL	constantly
STILLY	softly
STINT	to stop
	to stop
STITHY	a smith's forge
STITHY	to forge
STOCCADO	a stoccata, or thrust in fencing
STOCK	a stocking
STOMACH	courage, stubbornness
	Appetite, inclination
STONE-BOW	a cross-bow for throwing stones
STOUP	a cup
STOUT	strong, healthy
STOVER	fodder
STRACHY	A word of doubtful meaning
STRAIGHT	immediately
STRAIN	lineage
	Disposition
STRAITED	straitened
STRANGE	foreign
	Coy, reserved
	Marvellous
STRANGENESS	coyness, reserve
STRANGER	foreigner
STRAPPADO	a kind of punishment
STRICTURE	strictness
STROSSERS	trowsers
STUCK	a thrust of a sword
STUCK IN	corruption of stoccata
STUFF	baggage
	Material, substance
STUFFED	filled, stored
STY	to lodge as in a sty
SUBSCRIBE	to yield
	to succumb
SUCCESS	issue, consequence
	Succession
SUCCESSIVE	succeeding
SUCCESSIVELY	in succession
SUDDEN	hasty, rash
SUDDENLY	hastily
SUFFERANCE	suffering
SUGGEST	to tempt, entice
SUGGESTION	temptation, enticement
SUITED	dressed
SULLEN	doleful, melancholy
SUMPTER	a horse that carries provisions on a journey
SUPPOSE	a trick, imposition
SUPPOSED	counterfeit
SURCEASE	to cease
SURCEASE	cessation, end
SURPRISE	to capture by surprise
SUR-REINED	over-worked
SUSPECT	suspicion
SUSPIRE	to breathe
SWABBER	a sweeper of the deck of a ship
SWARTH	black
SWARTH	quantity of grass cut down by one sweep of the
	scythe
SWASHER	swaggerer
SWASHING	dashing, smashing
SWATH	The same as 'swarth.' 
SWATHLING	swaddling
SWAY	to move on
SWEAR	to adjure
SWEAR OVER	to out-swear
SWIFT	ready, quick
SWINGE-BUCKLER	a bully


TABLE	a tablet, note-book
TABLE-BOOK	note-book
TABLES	the game of backgammon
	A note-book
TABOUR	a small side-drum
TABOURER	a player on the tabour
TABOURINE	tambourine, drum
TAG	the rabble
TAINT	tainted
TAINTURE	defilement
TAKE	to infect, blast, bewitch
TAKE IN	to conquer
TAKE OUT	to copy
TAKE UP	to borrow money, or buy on credit
	To make up a quarrel
TAKING	infection, malignant influence
TAKING UP	buying on credit
TALE	counting, reckoning
TALL	strong, valiant
TALLOW-CATCH	a lump of tallow
TANG	twang, sound
TANG	to sound
TANLING	anything tanned by the sun
TARRE	to excite, urge on
TARRIANCE	delay
TARTAR	Tartarus
TASK	to tax
	Challenge
TASKING	challenging
TASTE	to try
TAWDRY-LACE	a rustic necklace
TAXATION	satire, sarcasm
TAXING	satire
TEEN	grief
TELL	to count
TEMPER	to mix
TEMPERANCE	temperature
TEMPERED	mixed
TEND	to attend to
TENDER	to hold, to esteem
	To have consideration for
TENT	to probe as a wound
TENT	a probe for searching a wound
TERCEL	the male of the goshawk
TERMAGANT	a ranting character in old plays
TESTED	pure, assayed
TESTERN	to reward with a tester, or six-pence
THARBOROUGH	a constable
THEORICK	theory
THEWES	sinews, muscles
THICK	rapidly
THICK-PLEACHED	thickly intertwined
THIRD-BOROUGH	a constable
THOUGHT	anxiety, grief
	So 'to take thought' is to give way to grief
THRASONICAL	boastful
THREE-MAN BEETLE	a wooden mallet worked by three men
THREE-MAN-SONG-MEN	singers of glees in three parts
THREE-PILE	three-piled velvet
THRENE	lament
THRID	thread, fibre
THROE	to put in agonies
THRUM	the tufted end of a thread in weaving
THRUMMED	made od coarse ends or tufts
TICKLE	ticklish
TIGHT	nimble, active
TIGHTLY	briskly, promptly
TIKE	a cur
TILLY-VALLY	int. an exclamation of contempt
TILTH	tillage
TIMELESS	untimely
TINCT	stain, dye
TIRE	attire, head-dress
TIRE	to tear as a bird of prey
	Hence, metaphorically, to feed
TIRE	to attire, dress
TANG	twang, sound
TOD	to yield a tod of wool
TOKENED	marked with plague spots
TOKENS	plague spots
TOLL	to exact toll
	To pay toll
TOO TOO	excessively
TOPLESS	supreme, without superior
TOUCH	touchstone for testing gold
	Trait
	An acute feeling
TOUCHED	pricked
TOUSE	to pull, drag
TOWARD	nearly ready
TOWARDS	nearly ready
TOYS	trifles, foolish tricks
TRADE	beaten path
TRANECT	a ferry
TRANSLATED	transformed
TRASH	to cheque, as a huntsman his hounds
TRAVAIL	labour, toil
TRAY-TRIP	an old game played with dice
TREACHERS	traitors
TREATIES	entreaties
TRENCHED	carved
TRICK	technically, a copy of a coat of arms; hence,
	any peculiarity which distinguishes voice or
	feature
TRICK	to dress up
TRICKED	blazoned
TRICKING	ornament
TRICKSY	elegantly quaint
TRIPLE	third
TROJAN	a cant word for a thief
TROL-MY-DAMES	the name of a game; also called
	pigeon-holes
TROTH-PLIGHT	betrothed
TROW	to trust, think
TRUE	honest
TRUNDLE-TAIL	a long-tailed dog
TUCKET-SONANCE	a flourish on the trumpet
TUNDISH	a funnel
TURLYGOOD	a name adopted by bedlam-beggars
TURN	to modulate
TWANGLING	twanging
TWIGGEN	made of twigs, wicker
TWILLED	Retained by woven branches
TWINK	a twinkling
TWIRE	to peep, twinkle


UMBERED	stained, dark, as with umber
UNANELED	without extreme unction
UNAVOIDED	unavoidable
UNBARBED	untrimmed
UNBATED	unblunted
UNBOLT	to disclose
UNBOLTED	unsifted, unrefined
UNBREATHED	unpractised
UNCAPE	to throw off the hounds
